Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,74.0,74.0,74.0,74.0,54.90141296386719,10000000
2009-01-06,74.0,74.0,72.0,72.0,53.417606353759766,22600000
2009-01-07,77.0,77.0,74.0,77.0,57.12715530395508,245000
2009-01-08,77.0,77.0,77.0,77.0,57.12715530395508,30
2009-01-09,78.0,78.0,72.0,78.0,57.869075775146484,40340000
2009-01-12,72.0,74.0,72.0,72.0,53.417606353759766,25000000
2009-01-13,72.0,72.0,72.0,72.0,53.417606353759766,15000
2009-01-14,67.0,70.0,67.0,67.0,49.708045959472656,32115000
2009-01-15,63.0,64.0,63.0,63.0,46.74040222167969,18000000
2009-01-16,70.0,70.0,70.0,70.0,51.93378448486328,25000
2009-01-19,63.0,65.0,63.0,63.0,46.74040222167969,17500000
2009-01-20,63.0,70.0,61.0,70.0,51.93378448486328,22005000
2009-01-21,71.0,81.0,70.0,71.0,52.67569351196289,142205000
2009-01-22,63.0,64.0,63.0,63.0,46.74040222167969,2730000
2009-01-23,63.0,63.0,63.0,63.0,46.74040222167969,0
2009-01-27,63.0,63.0,63.0,63.0,46.74040222167969,0
2009-01-28,63.0,63.0,63.0,63.0,46.74040222167969,20
2009-01-29,63.0,63.0,63.0,63.0,46.74040222167969,0
2009-01-30,63.0,63.0,63.0,63.0,46.74040222167969,20
2009-02-02,63.0,63.0,63.0,63.0,46.74040222167969,0
2009-02-03,63.0,63.0,63.0,63.0,46.74040222167969,20
2009-02-04,63.0,63.0,63.0,63.0,46.74040222167969,20
2009-02-05,63.0,63.0,63.0,63.0,46.74040222167969,20
2009-02-06,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-09,64.0,64.0,61.0,64.0,47.4823112487793,165000
2009-02-10,64.0,64.0,64.0,64.0,47.4823112487793,30
2009-02-11,64.0,64.0,64.0,64.0,47.4823112487793,30
2009-02-12,64.0,65.0,64.0,64.0,47.4823112487793,25125000
2009-02-13,64.0,64.0,64.0,64.0,47.4823112487793,30
2009-02-16,64.0,64.0,64.0,64.0,47.4823112487793,50000
2009-02-17,63.0,63.0,63.0,63.0,46.74040222167969,25000
2009-02-18,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-19,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-20,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-23,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-24,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-25,63.0,63.0,63.0,63.0,46.74040222167969,30
2009-02-26,65.0,65.0,65.0,65.0,48.22422790527344,75000
2009-02-27,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-02,65.0,65.0,65.0,65.0,48.22422790527344,4595000
2009-03-03,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-04,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-05,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-06,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-10,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-11,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-12,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-13,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-16,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-17,65.0,65.0,65.0,65.0,48.22422790527344,30
2009-03-18,65.0,65.0,65.0,65.0,48.22422790527344,0
2009-03-19,66.0,66.0,66.0,66.0,48.96613311767578,7500000
2009-03-20,66.0,66.0,66.0,66.0,48.96613311767578,30
2009-03-23,65.0,65.0,65.0,65.0,48.22422790527344,7500000
2009-03-24,65.0,65.0,65.0,65.0,48.22422790527344,0
2009-03-25,66.0,66.0,66.0,66.0,48.96613311767578,165000
2009-03-27,66.0,66.0,66.0,66.0,48.96613311767578,30
2009-03-30,66.0,66.0,66.0,66.0,48.96613311767578,30
2009-03-31,69.0,69.0,69.0,69.0,51.19186782836914,5000
2009-04-01,68.0,68.0,68.0,68.0,50.4499626159668,5000
2009-04-02,71.0,71.0,68.0,71.0,52.67569351196289,215000
2009-04-03,73.0,73.0,73.0,73.0,54.15951156616211,5000
