Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,395.0,405.0,395.0,395.0,216.48008728027344,718500
2009-01-06,395.0,395.0,385.0,385.0,210.99961853027344,25500
2009-01-07,390.0,400.0,385.0,390.0,213.7398681640625,362500
2009-01-08,390.0,400.0,390.0,390.0,213.7398681640625,206500
2009-01-09,380.0,440.0,380.0,425.0,232.921630859375,1865000
2009-01-12,435.0,435.0,410.0,410.0,224.700927734375,347000
2009-01-13,395.0,410.0,395.0,395.0,216.48008728027344,4
2009-01-14,385.0,400.0,385.0,385.0,210.99961853027344,4
2009-01-15,375.0,375.0,365.0,375.0,205.51905822753906,4
2009-01-16,375.0,400.0,375.0,400.0,219.22036743164062,83000
2009-01-19,400.0,400.0,390.0,400.0,219.22036743164062,26500
2009-01-20,415.0,415.0,390.0,415.0,227.4410858154297,4
2009-01-21,410.0,410.0,390.0,410.0,224.700927734375,4
2009-01-22,410.0,410.0,395.0,410.0,224.700927734375,4
2009-01-23,410.0,410.0,395.0,410.0,224.700927734375,61000
2009-01-27,400.0,410.0,395.0,400.0,219.22036743164062,4
2009-01-28,410.0,410.0,395.0,410.0,224.700927734375,4
2009-01-29,400.0,410.0,400.0,400.0,219.22036743164062,4
2009-01-30,395.0,400.0,395.0,395.0,216.48008728027344,79000
2009-02-02,405.0,405.0,390.0,405.0,221.9606170654297,4
2009-02-03,405.0,405.0,400.0,405.0,221.9606170654297,4
2009-02-04,420.0,420.0,400.0,420.0,230.18136596679688,4
2009-02-05,435.0,465.0,425.0,435.0,238.402099609375,4
2009-02-06,435.0,460.0,430.0,460.0,252.10348510742188,2890500
2009-02-09,460.0,465.0,440.0,460.0,252.10348510742188,1293500
2009-02-10,460.0,500.0,460.0,490.0,268.544921875,9727500
2009-02-11,485.0,515.0,475.0,485.0,265.8047180175781,7324500
2009-02-12,490.0,490.0,460.0,460.0,252.10348510742188,5264500
2009-02-13,465.0,475.0,465.0,465.0,254.84368896484375,4
2009-02-16,455.0,475.0,455.0,455.0,249.3631591796875,4
2009-02-17,435.0,450.0,435.0,435.0,238.402099609375,4
2009-02-18,435.0,480.0,435.0,465.0,254.84368896484375,4328000
2009-02-19,465.0,480.0,445.0,465.0,254.84368896484375,2605500
2009-02-20,460.0,460.0,450.0,460.0,252.10348510742188,4
2009-02-23,460.0,465.0,445.0,460.0,252.10348510742188,4
2009-02-24,460.0,465.0,450.0,460.0,252.10348510742188,4
2009-02-25,450.0,460.0,445.0,450.0,246.6229248046875,4
2009-02-26,445.0,445.0,435.0,445.0,243.8826446533203,4
2009-02-27,445.0,445.0,445.0,445.0,243.8826446533203,10000
2009-03-02,440.0,440.0,420.0,440.0,241.14239501953125,4
2009-03-03,430.0,430.0,415.0,430.0,235.66189575195312,4
2009-03-04,430.0,435.0,415.0,430.0,235.66189575195312,4
2009-03-05,450.0,450.0,415.0,425.0,232.921630859375,255500
2009-03-06,425.0,425.0,415.0,425.0,232.921630859375,4
2009-03-10,415.0,420.0,410.0,415.0,227.4410858154297,365500
2009-03-11,430.0,435.0,415.0,430.0,235.66189575195312,4
2009-03-12,430.0,430.0,415.0,430.0,235.66189575195312,4
2009-03-13,440.0,440.0,420.0,440.0,241.14239501953125,4
2009-03-16,425.0,440.0,425.0,425.0,232.921630859375,4
2009-03-17,435.0,435.0,420.0,435.0,238.402099609375,4
2009-03-18,445.0,455.0,430.0,445.0,243.8826446533203,4
2009-03-19,445.0,460.0,440.0,450.0,246.6229248046875,609000
2009-03-20,440.0,450.0,440.0,440.0,241.14239501953125,4
2009-03-23,450.0,460.0,440.0,450.0,246.6229248046875,4
2009-03-24,450.0,480.0,445.0,480.0,263.064453125,2097000
2009-03-25,470.0,500.0,465.0,470.0,257.5839538574219,3525000
2009-03-27,475.0,485.0,465.0,475.0,260.3241271972656,4
2009-03-30,455.0,475.0,455.0,455.0,249.3631591796875,4
2009-03-31,455.0,475.0,455.0,455.0,249.3631591796875,153500
2009-04-01,460.0,465.0,460.0,460.0,252.10348510742188,137000
2009-04-02,460.0,485.0,460.0,485.0,265.8047180175781,1352500
2009-04-03,485.0,560.0,480.0,510.0,279.50592041015625,12647500
2009-04-06,530.0,540.0,510.0,530.0,290.467041015625,4
2009-04-07,540.0,540.0,510.0,510.0,279.50592041015625,686000
2009-04-08,500.0,520.0,500.0,500.0,274.02545166015625,4
2009-04-09,500.0,500.0,500.0,500.0,274.02545166015625,0
2009-04-13,520.0,530.0,510.0,520.0,284.9864501953125,4
2009-04-14,530.0,540.0,520.0,530.0,290.467041015625,4
2009-04-15,530.0,560.0,520.0,530.0,290.467041015625,4
2009-04-16,530.0,540.0,530.0,530.0,290.467041015625,1505500
2009-04-17,530.0,530.0,520.0,520.0,284.9864501953125,220000
2009-04-20,520.0,520.0,510.0,520.0,284.9864501953125,4
2009-04-22,540.0,540.0,510.0,510.0,279.50592041015625,380500
2009-04-23,510.0,540.0,510.0,510.0,279.50592041015625,4
2009-04-24,510.0,520.0,510.0,510.0,279.50592041015625,197000
2009-04-27,530.0,530.0,520.0,530.0,290.467041015625,636500
2009-04-28,530.0,550.0,520.0,530.0,290.467041015625,4
