Date,BI Rate
Nov 2005,12.25
Dec 2005,12.75
Jan 2006,12.75
Feb 2006,12.75
Mar 2006,12.75
Apr 2006,12.75
May 2006,12.5
Jun 2006,12.5
Jul 2006,12.25
Aug 2006,11.75
Sep 2006,11.25
Oct 2006,10.75
Nov 2006,10.25
Dec 2006,9.75
Jan 2007,9.50
Feb 2007,9.25
Mar 2007,9.00
Apr 2007,9.00
May 2007,8.75
Jun 2007,8.50
Jul 2007,8.25
Aug 2007,8.25
Sep 2007,8.25
Oct 2007,8.25
Nov 2007,8.25
Dec 2007,8.00
Jan 2008,8.00
Feb 2008,8.00
Mar 2008,8.00
Apr 2008,8.00
May 2008,8.25
Jun 2008,8.50
Jul 2008,8.75
Aug 2008,9.00
Sep 2008,9.25
Oct 2008,9.50
Nov 2008,9.50
Dec 2008,9.50
Jan 2009,8.75
Feb 2009,8.25
Mar 2009,7.75
Apr 2009,7.5
May 2009,7.25
Jun 2009,7.0
Jul 2009,6.75
Aug 2009,6.5
Sep 2009,6.5
Oct 2009,6.5
Nov 2009,6.5
Dec 2009,6.5
Jan 2010,6.5
Feb 2010,6.5
Mar 2010,6.5
Apr 2010,6.5
May 2010,6.5
Jun 2010,6.5
Jul 2010,6.5
Aug 2010,6.5
Sep 2010,6.5
Oct 2010,6.5
Nov 2010,6.5
Dec 2010,6.5
Jan 2011,6.5
Feb 2011,6.75
Mar 2011,6.75
Apr 2011,6.75
May 2011,6.75
Jun 2011,6.75
Jul 2011,6.75
Aug 2011,6.75
Sep 2011,6.75
Oct 2011,6.5
Nov 2011,6.0
Dec 2011,6.0
Jan 2012,6.0
Feb 2012,5.75
Mar 2012,5.75
Apr 2012,5.75
May 2012,5.75
Jun 2012,5.75
Jul 2012,5.75
Aug 2012,5.75
Sep 2012,5.75
Oct 2012,5.75
Nov 2012,5.75
Dec 2012,5.75
Jan 2013,5.75
Feb 2013,5.75
Mar 2013,5.75
Apr 2013,5.75
May 2013,5.75
Jun 2013,6.0
Jul 2013,6.5
Aug 2013,7.0
Sep 2013,7.25
Oct 2013,7.25
Nov 2013,7.5
Dec 2013,7.5
Jan 2014,7.5
Feb 2014,7.5
Mar 2014,7.5
Apr 2014,7.5
May 2014,7.5
Jun 2014,7.5
Jul 2014,7.5
Aug 2014,7.5
Sep 2014,7.5
Oct 2014,7.5
Nov 2014,7.75
Dec 2014,7.75
Jan 2015,7.75
Feb 2015,7.5
Mar 2015,7.5
Apr 2015,7.5
May 2015,7.5
Jun 2015,7.5
Jul 2015,7.5
Aug 2015,7.5
Sep 2015,7.5
Oct 2015,7.5
Nov 2015,7.5
Dec 2015,7.5
Jan 2016,7.25
Feb 2016,7.0
Mar 2016,6.75
Apr 2016,6.75
May 2016,6.75
Jun 2016,6.5
Jul 2016,6.5
Aug 2016,5.25
Sep 2016,5.0
Oct 2016,4.75
Nov 2016,4.75
Dec 2016,4.75
Jan 2017,4.75
Feb 2017,4.75
Mar 2017,4.75
Apr 2017,4.75
May 2017,4.75
Jun 2017,4.75
Jul 2017,4.75
Aug 2017,4.5
Sep 2017,4.25
Oct 2017,4.25
Nov 2017,4.25
Dec 2017,4.25
Jan 2018,4.25
Feb 2018,4.25
Mar 2018,4.25
Apr 2018,4.25
May 2018,4.75
Jun 2018,5.25
Jul 2018,5.25
Aug 2018,5.5
Sep 2018,5.75
Oct 2018,5.75
Nov 2018,6.0
Dec 2018,6.0
Jan 2019,6.0
Feb 2019,6.0
Mar 2019,6.0
Apr 2019,6.0
May 2019,6.0
Jun 2019,6.0
Jul 2019,5.75
Aug 2019,5.5
Sep 2019,5.25
Oct 2019,5.0
Nov 2019,5.0
Dec 2019,5.0
Jan 2020,5.0
Feb 2020,4.75
Mar 2020,4.5
Apr 2020,4.5
May 2020,4.5
Jun 2020,4.25
Jul 2020,4.0
Aug 2020,4.0
Sep 2020,4.0
Oct 2020,4.0
Nov 2020,3.75
Dec 2020,3.75
Jan 2021,3.75
Feb 2021,3.5
Mar 2021,3.5
Apr 2021,3.5
May 2021,3.5
Jun 2021,3.5
Jul 2021,3.5
Aug 2021,3.5
Sep 2021,3.5
Oct 2021,3.5
Nov 2021,3.5
Dec 2021,3.5
Jan 2022,3.5
Feb 2022,3.5
Mar 2022,3.5
Apr 2022,3.5
May 2022,3.5
Jun 2022,3.5
Jul 2022,3.5
Aug 2022,3.75
Sep 2022,4.25
Oct 2022,4.75
Nov 2022,5.25
Dec 2022,5.5
Jan 2023,5.75
Feb 2023,5.75
Mar 2023,5.75
Apr 2023,5.75
May 2023,5.75
Jun 2023,5.75
Jul 2023,5.75
Aug 2023,5.75
Sep 2023,5.75
Oct 2023,6.0
Nov 2023,6.0
Dec 2023,6.0
Jan 2024,6.00
Feb 2024,6.00
Mar 2024,6.00
Apr 2024,6.25
May 2024,6.25
Jun 2024,6.25
Jul 2024,6.25
Aug 2024,6.25
Sep 2024,6.00
Oct 2024,6.00
